player,age,team_id,pos,goals,assists,points,plus_minus,wins_goalie,losses_goalie,ties_goalie,goals_against_avg,save_pct,ops,dps,gps,ps
Justin Abdelkader,31,DET,LW,6,13,19,-14,,,,,,,,,0.1
Pontus Aberg,25,TOT,LW,12,13,25,-14,,,,,,,,,2.0
Pontus Aberg,25,ANA,LW,11,8,19,-10,,,,,,,,,1.8
Pontus Aberg,25,MIN,LW,1,5,6,-4,,,,,,,,,0.2
Vitaly Abramov,20,OTT,RW,0,0,0,-3,,,,,,,,,-0.1
Noel Acciari,27,BOS,C,6,8,14,-3,,,,,,,,,0.4
Kenny Agostino,26,TOT,LW,6,18,24,-3,,,,,,,,,1.6
Kenny Agostino,26,MTL,LW,2,9,11,-1,,,,,,,,,0.5
Kenny Agostino,26,NJD,LW,4,9,13,-2,,,,,,,,,1.1
Andrew Agozzino,28,COL,LW,1,1,2,2,,,,,,,,,0.2
Sebastian Aho,21,CAR,RW,30,53,83,25,,,,,,,,,9.8
Mark Alt,27,COL,D,0,0,0,0,,,,,,,,,0.0
Karl Alzner,30,MTL,D,0,1,1,1,,,,,,,,,0.3
Michael Amadio,22,LAK,C,6,7,13,-1,,,,,,,,,1.3
Joey Anderson,20,NJD,RW,4,3,7,-7,,,,,,,,,0.2
Josh Anderson,24,CBJ,RW,27,20,47,25,,,,,,,,,6.2
Jaret Anderson-Dolan,19,LAK,C,0,1,1,-2,,,,,,,,,-0.1
Lias Andersson,20,NYR,C,2,4,6,-13,,,,,,,,,-0.4
Rasmus Andersson,22,CGY,D,2,17,19,17,,,,,,,,,3.8
Sven Andrighetto,25,COL,RW,7,10,17,10,,,,,,,,,1.6
Artem Anisimov,30,CHI,C,15,22,37,-2,,,,,,,,,2.6
Mason Appleton,23,WPG,C,3,7,10,9,,,,,,,,,1.1
Darren Archibald,28,TOT,RW,1,1,2,-3,,,,,,,,,0.1
Darren Archibald,28,VAN,RW,1,1,2,-1,,,,,,,,,0.2
Darren Archibald,28,OTT,RW,0,0,0,-2,,,,,,,,,-0.1
Josh Archibald,26,ARI,RW,12,10,22,1,,,,,,,,,2.4
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Joel Armia,25,MTL,RW,13,10,23,0,,,,,,,,,2.0
Viktor Arvidsson,25,NSH,LW,34,14,48,12,,,,,,,,,7.0
Zach Aston-Reese,24,PIT,C,8,9,17,12,,,,,,,,,1.9
Andreas Athanasiou,24,DET,C,30,24,54,-9,,,,,,,,,5.9
Cam Atkinson,29,CBJ,RW,41,28,69,3,,,,,,,,,8.8
Nicolas Aube-Kubel,22,PHI,RW,0,0,0,1,,,,,,,,,0.0
David Backes,34,BOS,C,7,13,20,0,,,,,,,,,1.3
Mikael Backlund,29,CGY,C,21,26,47,34,,,,,,,,,5.4
Nicklas Backstrom,31,WSH,C,22,52,74,2,,,,,,,,,6.6
Sven Baertschi,26,VAN,LW,9,5,14,-9,,,,,,,,,1.4
Josh Bailey,29,NYI,C,16,40,56,8,,,,,,,,,5.4
Justin Bailey,23,PHI,RW,0,1,1,0,,,,,,,,,0.0
Rudolfs Balcers,21,OTT,LW,5,9,14,-7,,,,,,,,,0.9
Ivan Barbashev,23,STL,C,14,12,26,-4,,,,,,,,,2.5
Mark Barberio,28,COL,D,1,0,1,-6,,,,,,,,,-0.1
Aleksander Barkov,23,FLA,C,35,61,96,-3,,,,,,,,,10.0
Tyson Barrie,27,COL,D,14,45,59,-3,,,,,,,,,8.4
Matt Bartkowski,30,MIN,D,1,0,1,2,,,,,,,,,0.4
Mathew Barzal,21,NYI,C,18,44,62,-5,,,,,,,,,5.6
Nathan Bastian,21,NJD,RW,3,0,3,0,,,,,,,,,0.5
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Drake Batherson,20,OTT,C,3,6,9,-2,,,,,,,,,0.7
Gavin Bayreuther,24,DAL,D,2,3,5,2,,,,,,,,,1.4
Jay Beagle,33,VAN,RW,3,10,13,-8,,,,,,,,,0.1
Jake Bean,20,CAR,D,0,0,0,0,,,,,,,,,0.0
Nathan Beaulieu,26,TOT,D,3,9,12,6,,,,,,,,,2.7
Nathan Beaulieu,26,BUF,D,3,4,7,1,,,,,,,,,1.7
Nathan Beaulieu,26,WPG,D,0,5,5,5,,,,,,,,,1.1
Anthony Beauvillier,21,NYI,LW,18,10,28,1,,,,,,,,,2.8
Matt Beleskey,30,NYR,LW,1,0,1,1,,,,,,,,,0.2
Pierre-Edouard Bellemare,33,VEG,LW,6,9,15,2,,,,,,,,,0.7
Louie Belpedio,22,MIN,D,0,0,0,0,,,,,,,,,0.0
Jamie Benn,29,DAL,LW,27,26,53,14,,,,,,,,,6.6
Jordie Benn,31,MTL,D,5,17,22,15,,,,,,,,,4.8
Sam Bennett,22,CGY,C,13,14,27,-6,,,,,,,,,1.9
Matt Benning,24,EDM,D,5,12,17,11,,,,,,,,,4.0
Patrice Bergeron,33,BOS,C,32,47,79,23,,,,,,,,,10.1
Patrik Berglund,30,BUF,C,2,2,4,-5,,,,,,,,,0.0
Tyler Bertuzzi,23,DET,LW,21,26,47,11,,,,,,,,,5.2
Alex Biega,30,VAN,D,2,14,16,0,,,,,,,,,2.7
Clark Bishop,22,CAR,C,1,2,3,-3,,,,,,,,,0.0
Anthony Bitetto,28,TOT,D,0,3,3,-7,,,,,,,,,0.3
Anthony Bitetto,28,NSH,D,0,3,3,1,,,,,,,,,0.6
Anthony Bitetto,28,MIN,D,0,0,0,-8,,,,,,,,,-0.2
Anders Bjork,22,BOS,LW,1,2,3,-1,,,,,,,,,0.0
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Oliver Bjorkstrand,23,CBJ,RW,23,13,36,8,,,,,,,,,4.8
Nick Bjugstad,26,TOT,C,14,12,26,6,,,,,,,,,2.6
Nick Bjugstad,26,PIT,C,9,5,14,4,,,,,,,,,1.6
Nick Bjugstad,26,FLA,C,5,7,12,2,,,,,,,,,1.0
Colin Blackwell,25,NSH,C,0,0,0,-1,,,,,,,,,-0.1
Sammy Blais,22,STL,LW,2,2,4,-1,,,,,,,,,0.1
Joseph Blandisi,24,TOT,C,0,0,0,-1,,,,,,,,,-0.1
Joseph Blandisi,24,PIT,C,0,0,0,0,,,,,,,,,-0.1
Joseph Blandisi,24,ANA,C,0,0,0,-1,,,,,,,,,-0.1
Anton Blidh,23,BOS,LW,0,0,0,0,,,,,,,,,0.0
Teddy Blueger,24,PIT,C,6,4,10,7,,,,,,,,,1.3
Mikkel Boedker,29,OTT,RW,7,28,35,-23,,,,,,,,,1.6
Brock Boeser,21,VAN,RW,26,30,56,-2,,,,,,,,,6.3
Zach Bogosian,28,BUF,D,3,16,19,-5,,,,,,,,,3.7
Nick Bonino,30,NSH,C,17,18,35,27,,,,,,,,,4.1
William Borgen,22,BUF,D,0,0,0,-5,,,,,,,,,-0.3
Henrik Borgström,21,FLA,C,8,10,18,-14,,,,,,,,,1.1
Mark Borowiecki,29,OTT,D,1,4,5,-12,,,,,,,,,0.4
Robert Bortuzzo,29,STL,D,2,8,10,9,,,,,,,,,2.8
Evan Bouchard,19,EDM,D,1,0,1,-5,,,,,,,,,-0.1
Reid Boucher,25,VAN,C,0,0,0,0,,,,,,,,,0.0
Gabriel Bourque,28,COL,LW,2,6,8,3,,,,,,,,,0.2
Jay Bouwmeester,35,STL,D,3,14,17,-3,,,,,,,,,3.5
Madison Bowey,23,TOT,D,2,8,10,-1,,,,,,,,,1.6
Madison Bowey,23,WSH,D,1,5,6,3,,,,,,,,,1.1
Madison Bowey,23,DET,D,1,3,4,-4,,,,,,,,,0.5
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Johnny Boychuk,35,NYI,D,3,16,19,10,,,,,,,,,4.5
Travis Boyd,25,WSH,C,5,15,20,6,,,,,,,,,1.7
Brian Boyle,34,TOT,C,18,6,24,-14,,,,,,,,,2.3
Brian Boyle,34,NJD,C,13,6,19,-13,,,,,,,,,1.9
Brian Boyle,34,NSH,C,5,0,5,-1,,,,,,,,,0.4
Tyler Bozak,32,STL,C,13,25,38,-3,,,,,,,,,3.2
Erik Brannstrom,19,OTT,D,0,0,0,0,,,,,,,,,0.0
Derick Brassard,31,TOT,C,14,9,23,-19,,,,,,,,,1.2
Derick Brassard,31,PIT,C,9,6,15,-6,,,,,,,,,1.1
Derick Brassard,31,COL,C,4,0,4,-7,,,,,,,,,0.0
Derick Brassard,31,FLA,C,1,3,4,-6,,,,,,,,,0.0
Jesper Bratt,20,NJD,W,8,25,33,-8,,,,,,,,,2.8
Justin Braun,31,SJS,D,2,14,16,-14,,,,,,,,,1.6
Connor Brickley,26,NYR,C,1,3,4,3,,,,,,,,,0.4
Daniel Brickley,23,LAK,D,0,1,1,-2,,,,,,,,,0.0
Guillaume Brisebois,21,VAN,D,0,0,0,-4,,,,,,,,,-0.2
T.J. Brodie,28,CGY,D,9,25,34,29,,,,,,,,,7.0
Jonas Brodin,25,MIN,D,4,14,18,-15,,,,,,,,,3.7
Kyle Brodziak,34,EDM,C,6,3,9,-14,,,,,,,,,-0.4
Jonny Brodzinski,25,LAK,C,2,1,3,0,,,,,,,,,0.3
Troy Brouwer,33,FLA,RW,12,9,21,-6,,,,,,,,,1.5
Connor Brown,25,TOR,RW,8,21,29,11,,,,,,,,,2.0
Dustin Brown,34,LAK,RW,22,29,51,-17,,,,,,,,,4.7
J.T. Brown,28,MIN,RW,3,5,8,0,,,,,,,,,0.4
Josh Brown,25,FLA,D,1,1,2,-3,,,,,,,,,0.5
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Logan Brown,20,OTT,C,0,0,0,-2,,,,,,,,,-0.1
Pavel Buchnevich,23,NYR,LW,21,17,38,-10,,,,,,,,,4.0
Michael Bunting,23,ARI,LW,1,0,1,0,,,,,,,,,0.1
Andre Burakovsky,23,WSH,LW,12,13,25,2,,,,,,,,,2.2
Erik Burgdoerfer,30,OTT,D,0,0,0,-1,,,,,,,,,0.0
Brent Burns,33,SJS,D,16,67,83,13,,,,,,,,,12.0
Will Butcher,24,NJD,D,4,26,30,-17,,,,,,,,,4.1
Chris Butler,32,STL,D,1,1,2,3,,,,,,,,,0.7
Dustin Byfuglien,33,WPG,D,4,27,31,4,,,,,,,,,4.4
Paul Byron,29,MTL,C,15,16,31,16,,,,,,,,,3.8
Drake Caggiula,24,TOT,LW,12,11,23,-5,,,,,,,,,1.9
Drake Caggiula,24,EDM,LW,7,4,11,-8,,,,,,,,,0.8
Drake Caggiula,24,CHI,LW,5,7,12,3,,,,,,,,,1.1
Ryan Callahan,33,TBL,RW,7,10,17,7,,,,,,,,,1.5
Matt Calvert,29,COL,LW,11,15,26,-10,,,,,,,,,1.4
Kyle Capobianco,21,ARI,D,0,0,0,-2,,,,,,,,,-0.1
Paul Carey,30,TOT,C,0,0,0,0,,,,,,,,,-0.1
Paul Carey,30,OTT,C,0,0,0,0,,,,,,,,,-0.1
Paul Carey,30,BOS,C,0,0,0,0,,,,,,,,,0.0
Brandon Carlo,22,BOS,D,2,8,10,22,,,,,,,,,4.3
John Carlson,29,WSH,D,13,57,70,21,,,,,,,,,10.5
Gabriel Carlsson,22,CBJ,D,0,0,0,-1,,,,,,,,,-0.1
Ryan Carpenter,28,VEG,C,5,13,18,-6,,,,,,,,,0.7
Daniel Carr,27,VEG,LW,1,0,1,-1,,,,,,,,,0.1
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Connor Carrick,24,TOT,D,2,9,11,-13,,,,,,,,,1.1
Connor Carrick,24,NJD,D,1,6,7,-6,,,,,,,,,0.9
Connor Carrick,24,DAL,D,1,3,4,-7,,,,,,,,,0.3
Sam Carrick,26,ANA,C,0,1,1,-1,,,,,,,,,0.0
Trevor Carrick,24,CAR,D,0,0,0,-1,,,,,,,,,-0.1
William Carrier,24,VEG,LW,8,1,9,-4,,,,,,,,,0.7
Jeff Carter,34,LAK,C,13,20,33,-20,,,,,,,,,2.0
Colby Cave,24,TOT,C,3,5,8,-5,,,,,,,,,-0.1
Colby Cave,24,EDM,C,2,1,3,-4,,,,,,,,,-0.3
Colby Cave,24,BOS,C,1,4,5,-1,,,,,,,,,0.1
Cody Ceci,25,OTT,D,7,19,26,-22,,,,,,,,,3.1
Peter Cehlarik,23,BOS,LW,4,2,6,3,,,,,,,,,0.7
Erik Cernak,21,TBL,D,5,11,16,25,,,,,,,,,4.3
Thomas Chabot,22,OTT,D,14,41,55,-12,,,,,,,,,7.5
Michael Chaput,26,MTL,C,0,5,5,-4,,,,,,,,,-0.3
Zdeno Chara,41,BOS,D,5,9,14,22,,,,,,,,,4.8
Rourke Chartier,22,SJS,C,1,0,1,-5,,,,,,,,,-0.2
Jake Chelios,27,DET,D,0,0,0,0,,,,,,,,,0.1
