Year,player,age,team_id,pos,votes,pct_of_vote,first,second,third,fourth,fifth,goals,assists,points,plus_minus,wins_goalie,losses_goalie,ties_goalie,goals_against_avg,save_pct,ops,dps,gps,ps
1936,Eddie Shore,33,Boston Bruins,D,55,28.95,,,,,,3,16,19,,,,,,,2.2,4.5,0.0,6.8
1936,Hooley Smith,33,Montreal Maroons,C,39,20.53,,,,,,19,19,38,,,,,,,5.4,0.8,0.0,6.2
1936,Sweeney Schriner,24,New York Americans,LW,38,20.00,,,,,,19,26,45,,,,,,,6.0,0.6,0.0,6.5
1936,Charlie Conacher,26,Toronto Maple Leafs,RW,30,15.79,,,,,,23,15,38,,,,,,,6.7,0.8,0.0,7.4
1936,Red Dutton,38,New York Americans,D,28,14.74,,,,,,5,8,13,,,,,,,1.5,2.2,0.0,3.6
1937,Babe Siebert,33,Montreal Canadiens,LW/D,63,30.73,,,,,,8,20,28,,,,,,,2.1,0.9,0.0,3.1
1937,Lionel Conacher,35,Montreal Maroons,D,43,20.98,,,,,,6,19,25,,,,,,,2.9,3.5,0.0,6.3
1937,Ebbie Goodfellow,29,Detroit Red Wings,C/D,42,20.49,,,,,,9,16,25,,,,,,,1.7,1.0,0.0,2.8
1937,Tiny Thompson,33,Boston Bruins,G,31,15.12,,,,,,0,0,0,,23,18,7,2.22,,0.0,0.0,8.8,8.8
1937,Marty Barry,31,Detroit Red Wings,C,26,12.68,,,,,,17,27,44,,,,,,,5.1,1.0,0.0,6.1
1938,Eddie Shore,35,Boston Bruins,D,68,30.49,,,,,,3,14,17,,,,,,,1.6,4.7,0.0,6.3
1938,Paul Thompson,31,Chicago Black Hawks,LW,61,27.35,,,,,,22,22,44,,,,,,,4.8,0.6,0.0,5.4
1938,Babe Siebert,34,Montreal Canadiens,D,38,17.04,,,,,,8,11,19,,,,,,,2.3,2.3,0.0,4.6
1938,Gordie Drillon,24,Toronto Maple Leafs,RW,28,12.56,,,,,,26,26,52,,,,,,,6.7,0.8,0.0,7.4
1938,Neil Colville,23,New York Rangers,C,28,12.56,,,,,,18,19,37,,,,,,,3.9,1.0,0.0,4.9
1939,Toe Blake,26,Montreal Canadiens,LW,64,32.99,,,,,,24,23,47,,,,,,,5.2,0.5,0.0,5.7
1939,Syl Apps,24,Toronto Maple Leafs,C,45,23.20,,,,,,15,25,40,,,,,,,3.9,0.8,0.0,4.8
1939,Johnny Gottselig,33,Chicago Black Hawks,LW,30,15.46,,,,,,16,23,39,,,,,,,3.6,0.6,0.0,4.2
1939,Earl Robertson,28,New York Americans,G,28,14.43,,,,,,0,0,0,,17,18,10,2.86,,0.0,0.0,5.3,5.3
1939,Eddie Shore,36,Boston Bruins,D,27,13.92,,,,,,4,14,18,,,,,,,1.8,4.5,0.0,6.3
1940,Ebbie Goodfellow,32,Detroit Red Wings,D,57,28.36,,,,,,11,18,29,,,,,,,3.4,2.7,0.0,6.1
1940,Syl Apps,25,Toronto Maple Leafs,C,51,25.37,,,,,,13,17,30,,,,,,,3.7,0.5,0.0,4.2
