"player","position","season","Team","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh_perc","F_Sh_perc","xFSH_perc","iBLK","iHF","iHA","GIVE","TAKE","iPENT2","iPEND2","iPENT5","iPEND5","FOW","FOL","FO_diff"
"AARON.EKBLAD","D","20182019","FLA",45,832.72,4,1,7,12,76,97,132,3.32,5.26,4.12,3.42,21,59,59,54,20,5,2,0,0,0,0,0
"ADAM.ERNE","F","20182019","T.B",33,320.93,4,4,4,12,34,55,74,3.66,11.76,7.27,6.65,9,69,27,5,7,6,2,0,0,6,5,1
"ADAM.GAUDETTE","F","20182019","VAN",32,276.5,3,1,2,6,23,36,52,2.3,13.04,8.33,6.39,6,31,32,4,4,5,8,0,0,80,104,-24
"ADAM.HENRIQUE","F","20182019","ANA",48,612.03,5,8,4,17,53,78,91,6.64,9.43,6.41,8.51,31,33,43,16,14,6,7,0,0,272,224,48
"ADAM.LARSSON","D","20182019","EDM",47,925.22,1,4,6,11,60,94,132,2.11,1.67,1.06,2.24,63,136,77,37,14,10,3,0,0,0,0,0
"ADAM.LOWRY","F","20182019","WPG",45,549.38,6,3,2,11,54,78,97,7.5,11.11,7.69,9.62,20,115,48,11,20,4,6,1,1,313,239,74
"ADAM.MCQUAID","D","20182019","NYR",23,347.55,0,1,1,2,5,19,34,0.41,0,0,2.16,39,57,21,8,2,5,2,1,1,0,0,0
"ADAM.PELECH","D","20182019","NYI",42,648.12,3,3,2,8,49,70,96,2.44,6.12,4.29,3.49,52,75,77,20,22,3,1,0,0,0,0,0
"ADRIAN.KEMPE","F","20182019","L.A",47,553.45,5,4,2,11,58,78,108,4.6,8.62,6.41,5.9,11,46,30,14,8,12,6,0,0,151,208,-57
"ALAN.QUINE","F","20182019","CGY",9,82.9,2,0,1,3,4,5,8,0.75,50,40,15,1,9,5,5,2,1,0,0,0,7,8,-1
"ALEC.MARTINEZ","D","20182019","L.A",34,592.53,3,3,3,9,34,52,78,2.38,8.82,5.77,4.58,67,43,43,40,7,2,4,0,0,0,0,0
"ALEKSANDER.BARKOV","F","20182019","FLA",45,740.68,9,9,4,22,86,118,130,7.56,10.47,7.63,6.41,29,13,66,30,51,1,23,0,0,425,380,45
"ALEX.BIEGA","D","20182019","VAN",14,207.05,0,1,2,3,31,43,63,0.82,0,0,1.91,7,38,31,8,0,3,1,0,0,0,0,0
"ALEX.CHIASSON","F","20182019","EDM",38,491.48,9,4,0,13,42,63,76,5.14,21.43,14.29,8.16,16,40,60,13,10,7,7,0,0,4,7,-3
"ALEX.DEBRINCAT","F","20182019","CHI",49,674.72,14,2,7,23,108,139,184,7.94,12.96,10.07,5.71,16,18,46,19,27,4,6,0,0,12,13,-1
"ALEX.EDLER","D","20182019","VAN",33,544.8,2,2,4,8,46,65,87,1.69,4.35,3.08,2.6,64,63,49,11,3,12,4,0,0,0,0,0
"ALEX.FORMENTON","F","20182019","OTT",9,100.43,1,0,0,1,16,22,25,1.48,6.25,4.55,6.73,6,11,15,5,4,3,6,0,0,1,2,-1
"ALEX.FORTIN","F","20182019","CHI",24,241.57,2,2,1,5,27,37,54,2.54,7.41,5.41,6.86,7,21,16,3,9,1,3,0,0,11,6,5
"ALEX.GALCHENYUK","F","20182019","ARI",36,447.28,3,2,5,10,39,59,77,4.7,7.69,5.08,7.97,12,20,35,13,16,6,8,0,0,120,111,9
"ALEX.GOLIGOSKI","D","20182019","ARI",40,653.08,2,4,5,11,34,53,87,1.43,5.88,3.77,2.7,50,28,56,27,11,1,3,0,0,0,0,0
"ALEX.IAFALLO","F","20182019","L.A",48,692.67,7,4,5,16,69,99,114,6.86,10.14,7.07,6.93,30,42,46,6,12,5,2,0,0,4,13,-9
"ALEX.KERFOOT","F","20182019","COL",43,503.83,4,8,2,14,50,64,79,4.73,8,6.25,7.39,18,8,51,11,9,11,6,0,0,162,126,36
"ALEX.KILLORN","F","20182019","T.B",48,543.5,7,8,1,16,82,116,157,7.85,8.54,6.03,6.77,9,52,44,14,11,10,6,0,0,1,3,-2
"ALEX.OVECHKIN","F","20182019","WSH",46,731.52,20,7,3,30,109,155,217,11.08,18.35,12.9,7.15,23,131,37,26,15,10,8,0,0,1,3,-2
"ALEX.PETROVIC","D","20182019","EDM",5,70.03,0,0,1,1,2,6,12,0.18,0,0,3,6,19,10,2,1,2,0,0,0,0,0,0
"ALEX.PETROVIC","D","20182019","FLA",26,405.77,0,0,1,1,37,54,81,1.12,0,0,2.07,33,82,41,19,6,7,3,0,0,0,0,0
"ALEX.PIETRANGELO","D","20182019","STL",35,633.13,4,2,6,12,58,83,127,2.42,6.9,4.82,2.92,56,25,48,22,13,5,8,0,0,0,0,0
"ALEX.RADULOV","F","20182019","DAL",38,592.18,9,10,6,25,71,100,144,6.33,12.68,9,6.33,35,40,44,35,21,16,11,0,0,2,6,-4
"ALEX.STEEN","F","20182019","STL",32,382.95,4,2,3,9,48,62,77,3.36,8.33,6.45,5.42,19,32,30,8,9,5,8,0,0,5,12,-7
"ALEX.TUCH","F","20182019","VGK",41,566.32,12,7,11,30,79,107,145,7.1,15.19,11.21,6.64,27,47,43,20,36,3,7,0,0,11,34,-23
"ALEX.WENNBERG","F","20182019","CBJ",46,552.53,0,7,5,12,37,49,59,3.84,0,0,7.84,24,19,28,20,12,2,0,0,0,193,193,0
"ANDERS.BJORK","F","20182019","BOS",20,217.57,1,1,1,3,15,24,33,1.46,6.67,4.17,6.08,11,9,16,9,11,1,1,0,0,1,0,1
"ANDERS.LEE","F","20182019","NYI",46,622.83,8,9,4,21,74,101,126,8.36,10.81,7.92,8.28,33,51,56,11,15,13,8,1,1,19,17,2
"ANDREAS.ATHANASIOU","F","20182019","DET",42,584.18,14,7,1,22,96,133,171,9.65,14.58,10.53,7.26,12,16,33,27,10,4,11,0,0,41,69,-28
"ANDREAS.JOHNSSON","F","20182019","TOR",41,465.25,8,5,5,18,54,74,89,5.06,14.81,10.81,6.84,22,31,50,10,16,6,7,0,0,6,7,-1
